Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2014-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-04-01;0;1010.841667;21.5375;28.5;24.75;22.8;82.458333;68;6;1.475;
2014-04-02;0;1010.1375;21.7875;27.5;23.975;21.9;87.833333;74;4.8;1.383333;
2014-04-03;.4;1010.4;22.354167;29.1;24.704167;22.6;87.125;73;6.3;1.9;
2014-04-04;.4;1014.020833;21.570833;29.1;24.475;22.9;84.208333;65;13;2.578261;
2014-04-05;.2;1015.816667;20.725;31.8;24.725;23;78.833333;57;7.8;2.445833;
2014-04-06;0;1013.591667;18.633333;31;24.020833;21.6;72.625;47;6.8;1.8;
2014-04-07;0;1010.058333;19.754167;27.2;23.329167;21.4;80.75;68;6.5;1.666667;
2014-04-08;0;1009.429167;20.120833;26.9;23.366667;20.9;82.458333;62;5.4;1.075;
2014-04-09;0;1007.429167;20.541667;27.3;24.366667;22.4;79.5;67;5.6;1.5;
2014-04-10;.2;1009.066667;21.6625;28.3;24.5375;22.2;84.458333;67;8.4;2.175;
2014-04-11;0;1011.058333;21.295833;30.9;24.991667;23.2;80.291667;60;6.4;1.8125;
2014-04-12;0;1008.645833;19.579167;33.1;25.779167;22.8;69.583333;39;8;2.220833;
2014-04-13;0;1009.045833;20.229167;31.4;25.195833;21.5;74.25;51;12.8;2.1;
2014-04-14;.2;1011.2;20.916667;25.7;22.904167;22.9;88.875;72;18.9;3.741667;
2014-04-15;62.6;1013.75;19.720833;23.1;20.966667;19.7;92.625;88;11.9;3.116667;
2014-04-16;18.4;1012.916667;19.904167;23.8;21.433333;20.2;91.041667;83;7;1.854167;
2014-04-17;4.6;1012.245833;20.316667;26;22.945833;20.7;85.333333;74;8.5;.9875;
2014-04-18;0;1009.933333;20.85;28.5;23.8125;21.1;83.833333;65;4.2;1.0125;
2014-04-19;0;1009.875;21.883333;28.1;24.491667;22.9;85.666667;71;5.2;1.566667;
2014-04-20;0;1010.433333;21.670833;25.7;23.55;22.2;89.375;81;11.5;3.183333;
2014-04-21;.4;1011.75;21.254167;26.5;24.091667;22.3;84.375;77;10.8;2.620833;
2014-04-22;0;1010.179167;21.483333;29.7;24.554167;22.4;83.25;66;5.2;1.4;
2014-04-23;0;1010.15;21.933333;27.4;24.266667;23.2;86.833333;77;10.1;2.679167;
2014-04-24;1.8;1010.425;20.516667;25.5;23.245833;22.9;84.833333;71;16.8;3.8875;
2014-04-25;10.8;1011.679167;17.7375;25.3;22.9;21.2;72.75;65;11.9;3.1625;
2014-04-26;0;1012.566667;16.616667;25.1;22.145833;20.5;71.083333;56;10.7;2.4875;
2014-04-27;0;1015.195833;17.108333;25;21.541667;20.1;76.125;60;13.3;2.958333;
2014-04-28;22.4;1018.729167;15.066667;25.3;20.6125;17.2;71.458333;52;10.6;1.658333;
2014-04-29;.2;1017.429167;14.1;27;21.766667;18.8;62.25;42;8.9;2.370833;
2014-04-30;0;1012.895833;14.35;27.9;22.4125;19.1;60.833333;39;10.5;2.570833;
2014-05-01;0;1007.875;14.379167;28.4;24.554167;21.4;54;33;12.6;1.920833;
2014-05-02;0;1011.945833;17.425;27.9;24.216667;21.5;66;37;6;1.391667;
2014-05-03;0;1016.133333;19.633333;26.6;23.270833;21.7;80.375;62;5.6;1.579167;
2014-05-04;0;1014.195833;19.825;28.7;23.645833;21.5;79.541667;64;6.9;2.029167;
2014-05-05;0;1011.683333;19.845833;29.2;24.158333;21.9;77.166667;63;5.2;1.279167;
2014-05-06;0;1012.5875;20.004167;27;24.225;22.4;77.375;68;4.9;1.170833;
2014-05-07;0;1012.966667;21.075;27.5;24.475;22.5;81.5;68;4.3;1.258333;
2014-05-08;0;1010.729167;20.545833;28.4;24.2;22.4;80.333333;65;8.6;1.7125;
2014-05-09;0;1007.75;20.583333;25.5;23.058333;22;86.041667;76;14.3;3.679167;
2014-05-10;5.8;1012.495833;17.516667;24.1;21.2375;18.8;79.541667;68;13.6;3.35;
2014-05-11;18.4;1018.2875;15.7625;24.8;20.779167;18.3;73.75;55;10.6;3.241667;
2014-05-12;0;1016.566667;13.979167;26.9;21.583333;18.6;62.666667;36;8.9;2.858333;
2014-05-13;0;1013.691667;15.95;27.5;22.120833;19.2;68.458333;51;8.6;2.066667;
2014-05-14;0;1013.316667;17.158333;26.6;22.329167;20.3;72.875;56;6.4;1.375;
2014-05-15;0;1013.641667;17.329167;25.2;22.05;20;75;63;5.1;1.141667;
2014-05-16;0;1010.504167;18.870833;27.3;22.520833;19.9;80.291667;62;5.4;1.591667;
2014-05-17;0;1013.05;19.3875;25.8;22.991667;21;80.25;71;10.6;2.058333;
2014-05-18;0;1012.3125;19.808333;26.3;22.829167;21.5;83.25;69;5.8;1.345833;
2014-05-19;.2;1012.75;19.933333;25.4;22.983333;21.7;83.041667;74;9.2;3.204167;
2014-05-20;0;1013.454167;19.025;26.2;22.716667;20.9;79.916667;69;5.4;1.366667;
2014-05-21;0;1010.733333;19.479167;27;23.241667;20.8;79.708333;68;8.6;1.941667;
2014-05-22;0;1006.625;14.520833;33.2;27.941667;23;45.208333;28;12.3;2.3;
2014-05-23;0;1009.1625;19.4625;29.9;25.075;24.1;72.25;40;13.8;4.1125;
2014-05-24;16.6;1013.075;19.029167;22.3;20.429167;19.4;91.5;87;10.1;2.579167;
2014-05-25;18.4;1013.729167;18.679167;22.4;20.5;19;89.333333;83;7.2;2.708333;
2014-05-26;0;1009.5;19.266667;30.8;23.733333;19.4;76.75;48;7.1;2.170833;
2014-05-27;.4;1011.770833;17.8875;23.8;22.333333;21.8;76.125;65;13.2;5.604167;
2014-05-28;8.2;1013.7625;17.983333;22.1;20.066667;19.4;87.875;74;14.5;3.0625;
2014-05-29;3.2;1015.7375;16.379167;23.5;19.991667;18.3;79.791667;69;9.1;2.458333;
2014-05-30;0;1017.425;16.475;25.3;21.175;19;74.75;62;9.6;1.9375;
2014-05-31;0;1014.5625;16.9625;25.9;21.445833;18.8;75.833333;55;11.7;2.883333;
2014-06-01;0;1008.845833;16.779167;28.9;22.725;19.6;70.166667;45;9.7;1.704167;
2014-06-02;1.4;1007.029167;18.945833;25.3;22.408333;20.6;80.791667;68;12.3;2.8375;
2014-06-03;16.2;1011.620833;15.058333;22.6;20.529167;19.2;71.208333;59;14.6;4.341667;
2014-06-04;0;1012.3625;15.633333;24.5;20.779167;18.5;72.583333;62;8.6;2.616667;
2014-06-05;0;1008.7625;17.170833;29.2;22.391667;18.7;73.875;40;8.2;2.166667;
2014-06-06;0;1006.316667;17.416667;30.3;25.2125;20.1;63.125;39;13.3;2.7375;
2014-06-07;0;1007.35;20.175;26.3;24.120833;21.8;79.083333;63;6.5;1.645833;
2014-06-08;0;1007.866667;15.25;30.8;28.120833;24.2;46.208333;34;7.9;1.804167;
2014-06-09;0;1013.45;16.479167;30.3;25.8;25.2;59.583333;34;19.3;4.1875;
2014-06-10;1.8;1019.708333;19.891667;22.9;22.15;20.7;87.083333;80;9.1;4.391667;
2014-06-11;3.6;1019.1625;20.329167;26.1;22.670833;21.3;86.833333;73;11.3;3.229167;
2014-06-12;0;1018.779167;19.45;27.1;23.141667;21.2;80;67;10.9;3.0625;
2014-06-13;0;1018.875;19.120833;24.8;22.891667;21.8;79.5;72;11.6;3.545833;
2014-06-14;0;1016.879167;17.916667;26.8;23.166667;21;72.5;62;6.6;2.05;
2014-06-15;0;1016.8125;19.404167;24.4;22.5;20.9;82.875;72;10.3;2.7125;
2014-06-16;0;1017.658333;19.191667;24.8;22.0375;20.7;84.083333;74;6.1;1.229167;
2014-06-17;0;1016.025;19.166667;27.9;22.379167;20.3;82.333333;65;4.5;1.329167;
2014-06-18;0;1016.7375;19.1125;25.1;22.2375;20.2;82.666667;70;8.1;2.1;
2014-06-19;20.4;1019.533333;17.4125;22.5;19.283333;18.5;88.958333;81;12.8;3.1625;
2014-06-20;20.6;1019.125;16.3125;23.5;19.579167;17.2;81.666667;68;5.4;1.516667;
2014-06-21;0;1018.2875;16.6125;24.4;21.116667;19.5;75.541667;66;7.3;2.029167;
2014-06-22;0;1019.079167;17.083333;23.4;21.191667;19.5;77.583333;66;11;3.029167;
2014-06-23;0;1017.879167;16.075;24.3;21.295833;18.5;72.291667;58;5.8;1.4625;
2014-06-24;0;1015.454167;16.229167;27.7;22.854167;19.5;67.416667;43;7;1.904167;
2014-06-25;0;1012.404167;16.454167;25.3;22.725;20.1;67.958333;57;4.9;1.4125;
2014-06-26;0;1010.9375;17.2625;25.7;23.145833;20.6;69.791667;54;6.7;1.429167;
2014-06-27;0;1012.416667;17.925;25.8;23.025;20.7;73.458333;60;5.5;1.241667;
2014-06-28;0;1013.879167;18.85;25.3;22.029167;19.7;82.458333;69;4.9;1.5875;
2014-06-29;0;1011.395833;19.529167;27.6;24.1;21.1;76.166667;57;7;2.108333;
2014-06-30;0;1010.675;19.3;26.2;22.6125;21.6;82;60;10.7;3.004167;
2014-07-01;1.4;1012.0125;19.020833;24.7;21.945833;20.6;83.75;72;5.2;1.458333;
2014-07-02;0;1014.441667;18.679167;25.1;21.929167;20.3;82;71;6.4;2.295833;
2014-07-03;0;1016.141667;18.866667;26.9;22.304167;20.6;81.25;59;8.8;2.2875;
2014-07-04;0;1016.241667;19.845833;25.5;22.645833;20.8;84.291667;74;9.6;1.5875;
2014-07-05;0;1015.9625;19.141667;26.6;23.141667;21.1;78.541667;64;11.4;2.641667;
2014-07-06;0;1016.666667;17.454167;28.6;23.629167;21.2;69.166667;41;11.9;3.25;
2014-07-07;0;1017.154167;17.3;29.3;24.3875;22;65.166667;43;7.7;1.575;
2014-07-08;0;1019.483333;18.679167;25;21.7625;21.6;82.875;66;19.3;4.305;
2014-07-09;75.6;1018.054167;18.191667;23.4;20.9375;18.5;84.416667;74;null;null;
2014-07-10;.2;1015.841667;18.183333;22.2;20.183333;20.3;88.375;81;null;null;
2014-07-11;59.2;1017.275;17.520833;23.7;19.733333;17.7;87.333333;69;null;null;
2014-07-12;13.4;1020.3625;17.179167;23.1;20.258333;17.8;82.666667;73;null;null;
2014-07-13;0;1022.833333;15.6125;23.5;20.970833;19.4;71.666667;61;null;null;
2014-07-14;0;1021.3625;14.575;25.2;20.6375;18.7;68.291667;58;null;null;
2014-07-15;0;1020.145833;14.8625;23.6;20.675;18.7;69.5;58;null;null;
2014-07-16;0;1018.5;16.120833;25.3;21.141667;18.3;73.416667;55;null;null;
2014-07-17;0;1016.9625;17.679167;27.7;22.15;19.9;76.291667;43;null;null;
2014-07-18;0;1012.391667;16.095833;29.7;23.783333;21.5;64.25;32;null;null;
2014-07-19;6.2;1017.679167;14.704167;21.9;19.720833;17.7;73.208333;62;null;null;
2014-07-20;0;1019.366667;13.133333;22.7;19.608333;18.5;66.333333;57;null;null;
2014-07-21;0;1019.96087;13.573913;23.5;20.073913;17.8;66.26087;57;8.9;null;
2014-07-22;0;1018.870833;15.241667;24.2;20.783333;18.2;70.833333;61;11.8;2.533333;
2014-07-23;0;1015.504167;14.633333;26.8;22.029167;19.1;63.916667;35;11.1;2.2125;
2014-07-24;0;1010.3875;13.883333;28.7;24.7875;20.8;51.666667;35;14.6;2.654167;
2014-07-25;2.2;1012.245833;17.158333;26.9;20.120833;20.1;84.083333;45;19;4.254167;
2014-07-26;7.6;1016.904167;16.991667;19.2;18.3875;17.4;91.666667;86;7.1;1.991667;
2014-07-27;.8;1019.1625;17.441667;20.9;19.070833;18.4;90.291667;86;11.1;3.379167;
2014-07-28;22.6;1023.9625;16.845833;22.3;19.595833;17.4;84.333333;74;11.4;3.979167;
2014-07-29;0;1025.366667;15.308333;22.7;19.8;18.6;75.458333;63;10.4;3.075;
2014-07-30;0;1022.541667;14.745833;23.1;19.466667;17.3;74.416667;61;10.8;3.3875;
2014-07-31;0;1017.704167;15.504167;23;19.691667;17;77.041667;62;10.8;1.929167;
2014-08-01;0;1014.825;16.333333;24.6;20.995833;18;75;61;6.9;1.666667;
2014-08-02;0;1012.670833;17.104167;24.6;21.9;19.7;74.333333;61;7.2;1.591667;
2014-08-03;0;1010.820833;17.491667;25.8;22.1125;19.9;75.458333;55;5.8;1.35;
2014-08-04;0;1009.975;14.966667;34.6;26.558333;20.9;52.541667;20;8.3;1.6;
2014-08-05;2.4;1018.475;15.35;28;21.270833;18.8;71.333333;32;21.1;5.383333;
2014-08-06;1.8;1022.133333;12.5;23.1;19.358333;16.9;64.958333;44;12;3.395833;
2014-08-07;0;1018.725;12.4;23.9;19.629167;17;63.541667;41;7.5;2.216667;
2014-08-08;0;1017.6;15.679167;22.5;20.254167;17.5;75.416667;56;15.2;3.5125;
2014-08-09;2.6;1018.983333;17.270833;22.6;20.070833;19.3;84.041667;77;9.4;2.904167;
2014-08-10;0;1016.275;16.6625;23.8;20.754167;18.7;77.541667;68;8.4;2.270833;
2014-08-11;0;1013.683333;16.229167;27.6;22.7375;19.1;67.416667;43;6.7;1.766667;
2014-08-12;0;1011.345833;12.958333;31.9;25.85;21.6;46.583333;23;8.9;1.933333;
2014-08-13;0;1013.15;15.575;27.7;23.058333;22.5;66.791667;33;21.8;5.395833;
2014-08-14;27.4;1023.054167;14.629167;18.2;16.620833;14.8;88.041667;81;14.5;3.2875;
2014-08-15;4;1024.541667;14.7875;21.3;18.791667;15.7;77.666667;65;12.9;4.104167;
2014-08-16;0;1023.116667;15.533333;21.5;19.879167;19;76.125;67;14.4;4.870833;
2014-08-17;0;1019.3875;17.229167;24.4;21.020833;18.7;79.208333;68;9.4;2.466667;
2014-08-18;0;1016.333333;18.2125;23.5;20.854167;19.5;84.875;77;7.9;2.470833;
2014-08-19;0;1017.120833;17.5625;22.4;20.7125;20;82.166667;75;7.5;2.395833;
2014-08-20;0;1018.708333;17.1875;23.9;20.9625;18.8;79.125;69;6.6;1.945833;
2014-08-21;0;1017.45;17.975;25.5;21.129167;19.4;82.541667;65;9.8;2.6875;
2014-08-22;0;1013.758333;18.254167;27.8;22.4875;19.3;77.458333;54;6.8;1.333333;
2014-08-23;0;1012.866667;18.058333;26.5;22.316667;19.8;77.375;56;7.8;1.608333;
2014-08-24;0;1010.691667;17.195833;29.4;23.5;20.4;69.041667;38;8.8;2.566667;
2014-08-25;0;1009.041667;12.345833;32;26.254167;21.5;44.791667;19;8.6;2.025;
2014-08-26;0;1007.983333;14.870833;32.6;25.066667;23;57.041667;19;17.7;3.929167;
2014-08-27;0;1011.85;17.7625;22.3;20.829167;20.7;82.708333;73;12.3;3.679167;
2014-08-28;.4;1015.0625;14.733333;20.1;18.5875;18.4;78.833333;68;9.4;2.566667;
2014-08-29;15.4;1017.420833;14.345833;20.5;19.0375;15.9;74.583333;63;6.5;1.470833;
2014-08-30;0;1017.175;15.629167;22.6;20.154167;18.8;75.333333;61;12.5;3.858333;
2014-08-31;0;1011.766667;17.508333;25;20.954167;17.8;80.958333;64;20.9;3.520833;
2014-09-01;0;1008.191667;17.2375;29.7;23.891667;20.6;67.541667;40;13.5;3.325;
2014-09-02;0;1010.954167;18.270833;25;21.9125;19.5;80.166667;69;9.7;3.2375;
2014-09-03;2.8;1009.191667;18.05;25.8;21.945833;18.7;78.958333;57;26.9;5.25;
2014-09-04;.8;1017.354167;17.016667;23.7;20.433333;18.7;80.958333;68;17.9;7.145833;
2014-09-05;.6;1021.333333;14.075;22.6;19.704167;16.8;70.458333;51;15;6.479167;
2014-09-06;0;1018.5125;13.1;25.7;20.25;17.8;64.5;37;12.4;4.1;
2014-09-07;0;1015.695833;14.075;27;21.1625;18.1;64.416667;40;9.5;2.545833;
2014-09-08;0;1016.758333;16.445833;23.8;20.358333;18;78.541667;54;5.4;1.291667;
2014-09-09;0;1014.5375;16.5375;24.2;21.208333;18.9;74.916667;63;7.6;2.266667;
2014-09-10;0;1010.679167;15.933333;29.5;23.091667;19.7;64.708333;33;10.3;2.85;
2014-09-11;0;1010.191667;14.991667;28.9;24.245833;20.2;57.875;34;15.6;3.225;
2014-09-12;0;1014.554167;18.195833;23.8;21.295833;19.3;82.75;74;15.2;2.916667;
2014-09-13;0;1015.7;18.154167;26.6;21.070833;18.6;83.791667;66;7;2.0625;
2014-09-14;0;1013.85;17.566667;25.6;22.129167;19.3;75.625;60;9;2.154167;
2014-09-15;0;1009.0625;16.316667;29.1;23.479167;20.4;65.208333;35;9.5;2.8;
2014-09-16;0;1009.55;17.670833;27.1;22.7;20.6;74.291667;44;17.3;4.725;
2014-09-17;1.4;1015.695833;17.8375;24.4;20.820833;18.5;83.208333;68;7.9;2.15;
2014-09-18;0;1013.929167;18.470833;26.4;21.591667;19.6;82.75;66;13.4;5.583333;
2014-09-19;0;1009.3875;19.220833;25.6;22.229167;20.6;83.25;72;9.2;2.141667;
2014-09-20;0;1008.095833;19.55;27.2;22.883333;21;81.916667;67;11.2;1.904167;
2014-09-21;8.2;1009.366667;18.691667;23.4;21.0875;21.1;86.375;75;16.3;3.341667;
2014-09-22;10.2;1016.179167;16.6125;22.9;20.716667;19;77.541667;67;13.1;5.041667;
2014-09-23;0;1016.095833;16.179167;25.5;20.966667;18.4;74.541667;56;15.6;3.879167;
2014-09-24;0;1011.1125;15.758333;29.6;22.970833;19.7;65.041667;32;18.9;3.058333;
2014-09-25;0;1011.833333;18.158333;25;21.629167;20.1;80.833333;68;19.1;2.945833;
2014-09-26;0;1008.55;18.629167;26.5;22.354167;20;80.083333;56;20.7;3.041667;
